"0000730101 - הפרשות לפנסיה - חברות","3000","3000","21743","18743","724.800625","18743","724.800625"," "," "," "," "," "," "
"00007301 - הפרשות לפנסיה - חברות","3000","3000","21743","18743","724.800625","18743","724.800625"," "," "," "," "," "," "
"000073 - הפרשות לפנסיה - חברות","3000","3000","21743","18743","724.800625","18743","724.800625"," "," "," "," "," "," "
"0000750101 - מכירת חברות ממשלתיות","","","436995","436995","","436995",""," "," "," "," "," "," "
"00007501 - מכירת חברות ממשלתיות","","","436995","436995","","436995",""," "," "," "," "," "," "
"0000750301 - מכירת קרקע בבעלות מדינה","298000","298000","","-298000","0","-298000","0"," "," "," "," "," "," "
"00007503 - מכירת קרקע בבעלות מדינה","298000","298000","","-298000","0","-298000","0"," "," "," "," "," "," "
"000075 - הכנסות הון","298000","298000","436995","138995","146.600078125","138995","146.600078125"," "," "," "," "," "," "
"0000810101 - מלוה מהמוסד לבטוח לאומי","13320000","13320000","12550000","-770000","94.200078125","-770000","94.200078125"," "," "," "," "," "," "
"00008101 - מלוה מהמוסד לבטוח לאומי","13320000","13320000","12550000","-770000","94.200078125","-770000","94.200078125"," "," "," "," "," "," "
"000081 - מלוה מהמוסד לבטוח לאומי","13320000","13320000","12550000","-770000","94.200078125","-770000","94.200078125"," "," "," "," "," "," "
"0000820107 - הפקדות אחרות","","","4394","4394","","4394",""," "," "," "," "," "," "
"00008201 - הכנסה מאמיסיות והפקדות","","","4394","4394","","4394",""," "," "," "," "," "," "
"000082 - הכנסה מאמיסיות והפקדות","","","4394","4394","","4394",""," "," "," "," "," "," "
"0000830101 - מלוות סחירים","88200147","88200147","82020219","-6179928","93","-6179928","93"," "," "," "," "," "," "
"00008301 - מלוות סחירים","88200147","88200147","82020219","-6179928","93","-6179928","93"," "," "," "," "," "," "
"0000830201 - אג""ח מיועדות-חברות","2600000","2600000","3659701","1059701","140.800078125","1059701","140.800078125"," "," "," "," "," "," "
"0000830202 - אג""ח מיועדות-קרנות","300000","300000","4312452","4012452","1437.5","4012452","1437.5"," "," "," "," "," "," "
"0000830203 - כספי אמיסיות,הפקדות","500000","500000","502938","2938","100.600078125","2938","100.600078125"," "," "," "," "," "," "
"00008302 - מלוות לא סחירים","3400000","3400000","8475091","5075091","249.30015625","5075091","249.30015625"," "," "," "," "," "," "
"000083 - מלוות פנים","91600147","91600147","90495310","-1104837","98.800078125","-1104837","98.800078125"," "," "," "," "," "," "
"0000840101 - מלוות העצמאות והפיתוח","4100000","4100000","4063744","-36256","99.100078125","-36256","99.100078125"," "," "," "," "," "," "
"0000840102 - בניכוי הוצאות הפצה","-184500","-184500","-151415","33085","82.100078125","33085","82.100078125"," "," "," "," "," "," "
"00008401 - מלוות העצמאות והפיתוח","3915500","3915500","3912329","-3171","99.900078125","-3171","99.900078125"," "," "," "," "," "," "
"0000840301 - מלוות אחרים (ערבות","13500000","13500000","8195860","-5304140","60.7000390625","-5304140","60.7000390625"," "," "," "," "," "," "
"00008403 - מלוות אחרים","13500000","13500000","8195860","-5304140","60.7000390625","-5304140","60.7000390625"," "," "," "," "," "," "
"000084 - מלוות חוץ","17415500","17415500","12108188","-5307312","69.5","-5307312","69.5"," "," "," "," "," "," "
"0000902001 - סיוע בטחוני","8640000","8640000","7983364","-656636","92.400078125","-656636","92.400078125"," "," "," "," "," "," "
"00009020 - סיוע בטחוני מארה""ב","8640000","8640000","7983364","-656636","92.400078125","-656636","92.400078125"," "," "," "," "," "," "
